WORD,MEAN ATTRIBUTION SCORE,ATTRIBUTION SCORES,#OCCURANCES
taxi,0.07745597139000893,[0.07745597139000893],1
concedes,0.0773833878338337,[0.0773833878338337],1
gangster,0.07705696113407612,[0.07705696113407612],1
messed,0.07690127193927765,[0.07690127193927765],1
yet,0.07617048732936382,[0.07617048732936382],1
man(boy,0.07420418690890074,[0.07420418690890074],1
fucktard,0.07398242317140102,[0.07398242317140102],1
f**k,0.07327740080654621,"[0.09915728121995926, 0.03348743263632059, 0.0721331899985671, 0.08833169937133789]",4
takei,0.07296073064208031,[0.07296073064208031],1
i'm,0.07232415652833879,"[0.026100711431354284, 0.1185476016253233]",2
antisemite,0.07204050291329622,[0.07204050291329622],1
loser,0.07201026752591133,[0.07201026752591133],1
he’d,0.07189417351037264,[0.07189417351037264],1
fuckin’,0.07085729204118252,[0.07085729204118252],1
howard’s,0.07027333229780197,[0.07027333229780197],1
continued,0.06969160338242848,"[0.051941633224487305, 0.054157815873622894, 0.10297536104917526]",3
revelation,0.06884650886058807,[0.06884650886058807],1
shawn,0.06842224672436714,[0.06842224672436714],1
weird,0.06785925198346376,[0.06785925198346376],1
know-nothing,0.06767620705068111,[0.06767620705068111],1
she’s,0.06708707101643085,[0.06708707101643085],1
album’s,0.06688678544014692,[0.06688678544014692],1
for,0.06667361095046195,"[0.09209048748016357, 0.07402940094470978, 0.09362561255693436, 0.016024136915802956, 0.11178480088710785, 0.025310326367616653, 0.014309714548289776, 0.0030084189493209124, 0.012129316106438637, 0.011791776865720749, 0.009257201105356216, 0.09611112624406815, 0.3072846233844757]",13
buzreba,0.06663105171173811,[0.06663105171173811],1
mean,0.06639580149203539,"[0.011906998232007027, 0.12088460475206375]",2
divas,0.06592436973005533,[0.06592436973005533],1
i’ve,0.06584685761481524,[0.06584685761481524],1
sissy,0.06538140401244164,[0.06538140401244164],1
seriously,0.06520782597362995,[0.06520782597362995],1
shitkickin’,0.06510876212269068,[0.06510876212269068],1
alright,0.06435146555304527,[0.06435146555304527],1
comments,0.06361692864447832,"[0.06318607926368713, 0.06404777802526951]",2
hot,0.06312462966889143,"[0.11209327355027199, 0.014155985787510872]",2
dads,0.06292199902236462,[0.06292199902236462],1
no,0.06254415400326252,"[0.01142868958413601, 0.15549897029995918, 0.03616543300449848, 0.047083523124456406]",4
adj,0.06188758462667465,[0.06188758462667465],1
warning,0.061800230760127306,"[0.08261408284306526, 0.04098637867718935]",2
f***ing,0.061568329110741615,[0.061568329110741615],1
assbuster,0.0607555266469717,[0.0607555266469717],1
el-p,0.06057061068713665,[0.06057061068713665],1
entitled,0.060562158934772015,[0.060562158934772015],1
yo,0.06046439427882433,"[0.06382526271045208, 0.05710352584719658]",2
motherf**kers,0.06011625844985247,[0.06011625844985247],1
admirer,0.05996858607977629,[0.05996858607977629],1
horny,0.059100392584999405,"[0.06637818738818169, 0.07716065086424351, 0.03376233950257301]",3
didn’t,0.058828442357480526,[0.058828442357480526],1
philippines,0.05878102965652943,[0.05878102965652943],1
vandals,0.05875968746840954,[0.05875968746840954],1
travis,0.058534108102321625,[0.058534108102321625],1
both,0.058233678340911865,[0.058233678340911865],1
hawk,0.05794945638626814,[0.05794945638626814],1
here,0.05770143144764006,"[0.037913303822278976, 0.1211797297000885, 0.05719818826764822, 0.014514504000544548]",4
yells,0.057627350091934204,[0.057627350091934204],1
teenagers,0.05701220594346523,[0.05701220594346523],1
cums,0.05670886114239693,[0.05670886114239693],1
normand,0.05648701265454292,[0.05648701265454292],1
narcissistic,0.056020007468760014,[0.056020007468760014],1
nigga/we,0.05567884910851717,[0.05567884910851717],1
clip,0.05566060449928045,[0.05566060449928045],1
s**t,0.05495888041332364,"[0.03923614043742418, 0.0706816203892231]",2
gross,0.05465487763285637,[0.05465487763285637],1
hook,0.05454128235578537,[0.05454128235578537],1
simple,0.054243870079517365,[0.054243870079517365],1
weren't,0.05417993664741516,[0.05417993664741516],1
em,0.053246068147321544,"[0.07567219994962215, 0.04608204308897257, 0.037983961403369904]",3
bullshit,0.05227623414248228,"[0.06826535426080227, 0.03628711402416229]",2
i'll,0.05199766345322132,[0.05199766345322132],1
forcibely,0.051774393767118454,[0.051774393767118454],1
you,0.050769913010299206,[0.050769913010299206],1
lmfao,0.05007217265665531,[0.05007217265665531],1
interfere,0.04991413652896881,[0.04991413652896881],1
wakes,0.04980894550681114,[0.04980894550681114],1
self-absorbed,0.049753536470234394,[0.049753536470234394],1
wrote,0.049724504351615906,[0.049724504351615906],1
fag,0.04926294833421707,[0.04926294833421707],1
labeouf,0.04916577786207199,[0.04916577786207199],1
martin,0.04910619929432869,[0.04910619929432869],1
whore,0.048817798495292664,[0.048817798495292664],1
rubbing,0.04878135584294796,[0.04878135584294796],1
proceeds,0.048594994470477104,[0.048594994470477104],1
referred,0.0484064519405365,[0.0484064519405365],1
worse,0.04817529208958149,[0.04817529208958149],1
dildo,0.0480314027518034,[0.0480314027518034],1
f*ck,0.04782584654167295,"[0.03345467895269394, 0.0337074245326221, 0.034518588334321976, 0.049201919697225094, 0.08824662119150162]",5
"slut,”",0.046915861777961254,[0.046915861777961254],1
>if,0.046898551285266876,[0.046898551285266876],1
bullied,0.04659955250099301,"[0.04392774309962988, 0.04927136190235615]",2
assholes,0.045765181072056293,[0.045765181072056293],1
"nigga,”",0.04564413242042065,[0.04564413242042065],1
realdonaldtrump,0.04560574796050787,[0.04560574796050787],1
never-served,0.0454934686422348,[0.0454934686422348],1
shoot,0.0452282540500164,[0.0452282540500164],1
despite,0.0452154166996479,[0.0452154166996479],1
c,0.04486041143536568,[0.04486041143536568],1
nerds,0.044676532968878746,[0.044676532968878746],1
pants,0.04465356236323714,"[0.00754148792475462, 0.08176563680171967]",2
variations,0.044359929859638214,[0.044359929859638214],1
handcuffed,0.044242250733077526,[0.044242250733077526],1
to,0.04419956201544175,"[0.014057567343115807, 0.04985685274004936, 0.05679988116025925, 0.05356317758560181, 0.04941520839929581, 0.008896367624402046, 0.07349031418561935, 0.03364972770214081, 0.05377776175737381, 0.04100724309682846, 0.06381850689649582, 0.03797152265906334, 0.036553606390953064, 0.061086852103471756, 0.011670112609863281, 0.041345227509737015, 0.033046264201402664, 0.026488423347473145, 0.019908953458070755, 0.015758343040943146, 0.03288523852825165, 0.12117846310138702, 0.020754894241690636, 0.0897570550441742, 0.01773861050605774, 0.08967819809913635, 0.0326695516705513, 0.031579792499542236, 0.04026994854211807, 0.016428206115961075, 0.04690707474946976, 0.017452558502554893, 0.052148133516311646, 0.03698700666427612, 0.08941704779863358, 0.030757304280996323, 0.018274327740073204, 0.043387897312641144, 0.013567646965384483, 0.055004723370075226, 0.07057984173297882, 0.043362196534872055, 0.06211426854133606, 0.028033440932631493, 0.05727606266736984, 0.08244430273771286, 0.06451507657766342, 0.09772559255361557, 0.019214866682887077, 0.01877513900399208, 0.013696620240807533, 0.016701674088835716, 0.027646612375974655, 0.07581636309623718, 0.017129631713032722, 0.019671915099024773, 0.05912471562623978, 0.0839633196592331, 0.009862693026661873, 0.05744088441133499, 0.055170971900224686, 0.06272943317890167, 0.08912025392055511, 0.014472024515271187, 0.04737803712487221]",65
plain,0.04419929813593626,"[0.008052781224250793, 0.08034581504762173]",2
officer,0.04394677886739373,[0.04394677886739373],1
suck”,0.043406423181295395,[0.043406423181295395],1
eclipses,0.04338047094643116,[0.04338047094643116],1
squirts,0.043368903920054436,[0.043368903920054436],1
bunch,0.04333650693297386,[0.04333650693297386],1
admins,0.04314328171312809,[0.04314328171312809],1
hoes,0.04258325137197971,[0.04258325137197971],1
bury,0.042414089664816856,[0.042414089664816856],1
gamers,0.042288060300052166,[0.042288060300052166],1
that,0.042271738265489425,"[0.0876477062702179, 0.03868071362376213, 0.024534638971090317, 0.09348316490650177, 0.05173493176698685, 0.012872601859271526, 0.037128105759620667, 0.01952482759952545, 0.008851811289787292, 0.047683510929346085, 0.03584184870123863, 0.056688614189624786, 0.023347098380327225, 0.06381687521934509, 0.04695133492350578, 0.045659247785806656, 0.0089335385710001, 0.007093076594173908, 0.026121128350496292, 0.02434362843632698, 0.01595451310276985, 0.03987305983901024, 0.02339953277260065, 0.04502236098051071, 0.06074751168489456, 0.01516405027359724, 0.06915770471096039, 0.041404031217098236, 0.02180672250688076, 0.08373894542455673, 0.010476777330040932, 0.05311628058552742, 0.014896228909492493, 0.02524174377322197, 0.08445944637060165, 0.15841254591941833, 0.08532385528087616, 0.03195482864975929, 0.009556859731674194, 0.020865995436906815, 0.03259246423840523, 0.07102452218532562, 0.042556360363960266]",43
unzipped,0.0422191321849823,[0.0422191321849823],1
kinky,0.04196776356548071,[0.04196776356548071],1
began,0.04195959912613034,"[0.022120341658592224, 0.028613943606615067, 0.09971594624221325, 0.01738816499710083]",4
lil,0.041743580251932144,[0.041743580251932144],1
know,0.0415906250210745,"[0.023059267550706863, 0.01831747218966484, 0.025076881051063538, 0.13743111491203308, 0.0632442981004715, 0.01700267195701599, 0.007002669386565685]",7
"bitch,”",0.04149742051959038,[0.04149742051959038],1
"goddammit,”",0.04145468957722187,[0.04145468957722187],1
childish,0.04142805561423302,[0.04142805561423302],1
f—ing,0.041397047229111195,[0.041397047229111195],1
can't,0.04109613783657551,[0.04109613783657551],1
duterte,0.040991262532770634,[0.040991262532770634],1
saying,0.040901608066633344,"[0.042749958112835884, 0.0730966255068779, 0.0176454596221447, 0.030114389024674892]",4
cunning,0.040873726829886436,[0.040873726829886436],1
cunt,0.04058487853035331,"[0.07714306563138962, 0.018894415348768234, 0.02571715461090207]",3
cruiser,0.04055610205978155,[0.04055610205978155],1
pussy,0.04033140279352665,[0.04033140279352665],1
with,0.040222875168547036,"[0.020495418459177017, 0.06710875034332275, 0.01916862279176712, 0.028417030349373817, 0.0746179148554802, 0.025621384382247925, 0.035066694021224976, 0.06448154151439667, 0.04272686690092087, 0.030904656276106834, 0.008830535225570202, 0.12634441256523132, 0.026474814862012863, 0.01872221939265728, 0.021276479586958885, 0.025957297533750534, 0.049421276897192, 0.017689840868115425, 0.02320411242544651, 0.07792763411998749]",20
brunette,0.04020417761057615,[0.04020417761057615],1
coconut,0.04001269303262234,[0.04001269303262234],1
hateful,0.039945656433701515,[0.039945656433701515],1
batty,0.03972839564085007,[0.03972839564085007],1
you…,0.03971761278808117,[0.03971761278808117],1
backwoods,0.039393396116793156,[0.039393396116793156],1
cocksucker,0.03939052205532789,"[0.039698944427073, 0.03908209968358278]",2
user,0.03935597464442253,[0.03935597464442253],1
hell,0.039150347001850605,[0.039150347001850605],1
lyrics,0.03883092850446701,[0.03883092850446701],1
inquiring,0.03873124998062849,[0.03873124998062849],1
smack,0.03857082687318325,[0.03857082687318325],1
misogyny,0.038449935615062714,[0.038449935615062714],1
sand,0.03838804643601179,[0.03838804643601179],1
size,0.03838105872273445,[0.03838105872273445],1
nigga”,0.038286841940134764,[0.038286841940134764],1
dicksif,0.037966434843838215,[0.037966434843838215],1
blunt,0.037326911464333534,[0.037326911464333534],1
shit,0.03730978183448315,"[0.16790688410401344, 0.0383605882525444, 0.010304659605026245, 0.012759186327457428, 0.022028401494026184, 0.013959137722849846, 0.010205214843153954, 0.06800166890025139, 0.011282660998404026, 0.04117027297616005, 0.026552640832960606, 0.02971966192126274, 0.05474940687417984, 0.038932458497583866, 0.01371388416737318]",15
masturbate,0.03716005780734122,"[0.0437673581764102, 0.030552757438272238]",2
insult,0.03704026713967323,[0.03704026713967323],1
protester,0.03689067251980305,[0.03689067251980305],1
bootyou'd,0.03686574101448059,[0.03686574101448059],1
"prostitute,”",0.036551778204739094,[0.036551778204739094],1
noah,0.03650124371051788,[0.03650124371051788],1
biggest,0.03643113716195027,"[0.07555953413248062, 0.02456408180296421, 0.00916979555040598]",3
first,0.036350420443341136,"[0.04442492499947548, 0.016941361129283905, 0.07072212919592857, 0.013313266448676586]",4
dipshit,0.03624091483652592,[0.03624091483652592],1
ayo,0.036232114769518375,[0.036232114769518375],1
hook”,0.036102525889873505,[0.036102525889873505],1
innocence,0.036043427884578705,[0.036043427884578705],1
pussies,0.035819198936223984,[0.035819198936223984],1
ain't,0.03575976379215717,[0.03575976379215717],1
"hipsters,”",0.0355962049216032,[0.0355962049216032],1
filipino,0.035508619621396065,[0.035508619621396065],1
die,0.03532988205552101,[0.03532988205552101],1
sometimes,0.03516250103712082,[0.03516250103712082],1
crook,0.03502059727907181,[0.03502059727907181],1
don't,0.03500645630992949,"[0.045965367928147316, 0.024047544691711664]",2
emeritus,0.034962987527251244,[0.034962987527251244],1
caller,0.03496057540178299,[0.03496057540178299],1
shit-ton,0.03492514602839947,[0.03492514602839947],1
make,0.0349177485331893,"[0.015409464947879314, 0.015405898913741112, 0.07393788173794746]",3
dogs,0.03482912853360176,[0.03482912853360176],1
faggot,0.034692530520260334,"[0.03035533893853426, 0.03902972210198641]",2
pimp,0.03452158160507679,[0.03452158160507679],1
ball,0.03437840472906828,"[0.05922500044107437, 0.009531809017062187]",2
nationality,0.03436883166432381,[0.03436883166432381],1
large,0.03388821240514517,"[0.05323856323957443, 0.014537861570715904]",2
niggas,0.03387251193635166,"[0.04414723254740238, 0.023597791325300932]",2
replied,0.03383081406354904,[0.03383081406354904],1
at,0.03382398991379887,"[0.037797123193740845, 0.028215179219841957, 0.0848897248506546, 0.004968111403286457, 0.02826998196542263, 0.03889689967036247, 0.04053712636232376, 0.0070177726447582245]",8
if,0.03370099235326052,"[0.020261231809854507, 0.01123612467199564, 0.025874193757772446, 0.0369412899017334, 0.054300714284181595, 0.04482332617044449, 0.03320969082415104, 0.023563193157315254, 0.023978855460882187, 0.026407111436128616, 0.011645940132439137, 0.0819496214389801, 0.03170021250844002, 0.055321648716926575, 0.041317880153656006, 0.014743062667548656, 0.035642772912979126]",17
of,0.03364754450740293,"[0.011437105014920235, 0.11997358500957489, 0.061905644834041595, 0.027231160551309586, 0.06374772638082504, 0.0188615545630455, 0.008309707045555115, 0.023488732054829597, 0.0427938774228096, 0.007439900189638138, 0.05131756141781807, 0.04193620756268501, 0.07019487768411636, 0.015811780467629433, 0.05376924201846123, 0.05859184265136719, 0.028048908337950706, 0.005421361420303583, 0.03671741113066673, 0.02524747885763645, 0.03944113105535507, 0.020466849207878113, 0.03224160149693489, 0.010066995397210121, 0.012663355097174644, 0.04763788729906082, 0.016408231109380722, 0.039469603449106216, 0.021486615762114525, 0.0459439717233181, 0.015644025057554245, 0.018325144425034523, 0.06450413912534714, 0.027809608727693558, 0.01669463887810707, 0.06932908296585083, 0.012589323334395885, 0.00971912033855915, 0.04056575149297714, 0.01264903973788023]",40
and,0.033631930593401194,"[0.013709272257983685, 0.03982894495129585, 0.031029144302010536, 0.02085941657423973, 0.02898590639233589, 0.0671469047665596, 0.011263844557106495, 0.05150466039776802, 0.021474715322256088, 0.020312268286943436, 0.04272108152508736, 0.02943057380616665, 0.04591863974928856, 0.008998454548418522, 0.05095360428094864, 0.0504826083779335, 0.06608377397060394, 0.03251287341117859, 0.03321303799748421, 0.028511986136436462, 0.005130943842232227, 0.04008398950099945, 0.007946374826133251, 0.03287646174430847, 0.0305558480322361, 0.038807857781648636, 0.015189987607300282, 0.049667902290821075, 0.06307560950517654, 0.0325385145843029, 0.04125340282917023, 0.0198583472520113, 0.0729769915342331, 0.0379759781062603, 0.043238017708063126, 0.02743619680404663, 0.011706413701176643, 0.018969831988215446, 0.05951591581106186, 0.007414135150611401, 0.01365286111831665, 0.03963848203420639, 0.05406797677278519, 0.020034270361065865, 0.028937852010130882, 0.0395769327878952]",46
track,0.03361289016902447,[0.03361289016902447],1
sacks,0.03360343165695667,[0.03360343165695667],1
fools,0.03360198810696602,[0.03360198810696602],1
in,0.033569995524181474,"[0.009905458427965641, 0.008037105202674866, 0.12496508657932281, 0.015384671278297901, 0.03049854002892971, 0.0487237311899662, 0.053298257291316986, 0.021988455206155777, 0.024386949837207794, 0.018449191004037857, 0.04574622958898544, 0.06743153184652328, 0.043212372809648514, 0.06099443510174751, 0.0329054519534111, 0.03867417573928833, 0.011617130599915981, 0.009902050718665123, 0.014355991967022419, 0.043299246579408646, 0.004700926132500172, 0.051962025463581085, 0.045186109840869904, 0.008342538960278034, 0.008178598247468472, 0.05432754009962082, 0.032544709742069244, 0.021160168573260307, 0.029277760535478592, 0.024493934586644173, 0.036719486117362976]",31
impulse,0.03355501499027014,[0.03355501499027014],1
despicable,0.033129104413092136,[0.033129104413092136],1
total,0.03310558944940567,[0.03310558944940567],1
listen,0.03299282677471638,[0.03299282677471638],1
holidays,0.032969988882541656,[0.032969988882541656],1
shouted,0.03293125983327627,[0.03293125983327627],1
slave,0.03264012560248375,[0.03264012560248375],1
hat,0.03261793404817581,[0.03261793404817581],1
why,0.03261524857953191,"[0.05868150852620602, 0.02910836599767208, 0.02075733244419098, 0.021913787350058556]",4
comedian,0.03249445464462042,[0.03249445464462042],1
bitches,0.03243865290035804,"[0.020430494099855423, 0.04545755684375763, 0.03142790775746107]",3
sh*t,0.03243199177086353,[0.03243199177086353],1
others,0.03213175479322672,[0.03213175479322672],1
come,0.03212112560868263,[0.03212112560868263],1
damned,0.032085634768009186,[0.032085634768009186],1
more/she,0.031980046071112156,[0.031980046071112156],1
me,0.031965154729297625,"[0.011720781214535236, 0.009068521670997143, 0.13635001704096794, 0.08356800675392151, 0.0365590825676918, 0.007100844290107489, 0.015629304572939873, 0.016459358856081963, 0.018362995237112045, 0.008901363238692284, 0.01757584884762764, 0.010235313326120377, 0.009586702100932598, 0.10050677135586739, 0.024142783135175705, 0.03949618898332119, 0.012130733579397202, 0.0419243723154068, 0.034692514687776566, 0.05000594910234213, 0.011295633390545845, 0.02493170276284218, 0.014953769743442535]",23
other,0.031944626942276955,"[0.024580106139183044, 0.039309147745370865]",2
very,0.03193754702806473,[0.03193754702806473],1
on,0.031884512933902445,"[0.023180579766631126, 0.007766696624457836, 0.019453974440693855, 0.08210909366607666, 0.007536751683801413, 0.05205054208636284, 0.02596176601946354, 0.04847433231770992, 0.027188345789909363, 0.011873616836965084, 0.07503311336040497, 0.014186011627316475, 0.08827975392341614, 0.0060368552803993225, 0.017972160130739212, 0.006038816645741463, 0.016718994826078415, 0.05921163409948349, 0.023880386725068092, 0.024736832827329636]",20
everyone,0.03183527523651719,"[0.025684296153485775, 0.03798625431954861]",2
goat,0.03177877329289913,[0.03177877329289913],1
sumn,0.031647116877138615,[0.031647116877138615],1
niggerbastard,0.03152057994157076,[0.03152057994157076],1
sorry,0.03150273207575083,"[0.01563280262053013, 0.04737266153097153]",2
pissed,0.03139782976359129,[0.03139782976359129],1
vro/that,0.03139404719695449,[0.03139404719695449],1
eventually,0.03132932633161545,[0.03132932633161545],1
after,0.031230383552610874,"[0.050534557551145554, 0.011926209554076195]",2
kitchen,0.031124870292842388,[0.031124870292842388],1
rodrigo,0.031022725626826286,[0.031022725626826286],1
fact,0.03087286278605461,[0.03087286278605461],1
tweet,0.03063370070109765,"[0.020094878040254116, 0.044443787075579166, 0.02736243698745966]",3
shirt,0.030586853623390198,[0.030586853623390198],1
instinctively,0.03052875492721796,[0.03052875492721796],1
look,0.03047955594956875,[0.03047955594956875],1
hick,0.030392425134778023,[0.030392425134778023],1
april,0.03023397922515869,[0.03023397922515869],1
downs,0.03009972907602787,[0.03009972907602787],1
rihanna,0.030069831758737564,[0.030069831758737564],1
sucking,0.030066238716244698,"[0.02567141503095627, 0.047695092856884, 0.012726489454507828, 0.03417195752263069]",4
along,0.029979031533002853,[0.029979031533002853],1
little,0.029880480468273164,"[0.023911509662866592, 0.008676256984472275, 0.014150558039546013, 0.08844143152236938, 0.01422264613211155]",5
gentrified,0.029853730462491512,[0.029853730462491512],1
poop,0.029686025343835354,[0.029686025343835354],1
coming,0.029599707573652267,[0.029599707573652267],1
sic,0.02956791315227747,[0.02956791315227747],1
rotten,0.029488581232726574,[0.029488581232726574],1
vaginas,0.02946324460208416,[0.02946324460208416],1
customers,0.02940046787261963,[0.02940046787261963],1
fuck,0.029369150734248946,"[0.035770101472735405, 0.038678355515003204, 0.027811819687485695, 0.028556425124406815, 0.13073326647281647, 0.057483015581965446, 0.022379738278687, 0.010189044289290905, 0.09555910713970661, 0.018395191058516502, 0.02428140863776207, 0.007531710900366306, 0.027279462665319443, 0.016852108761668205, 0.012516558170318604, 0.05660313367843628, 0.032863445580005646, 0.021198106929659843, 0.048724181950092316, 0.012230383232235909, 0.02209054073318839, 0.019537271931767464, 0.05105675384402275, 0.06253291666507721, 0.021203041076660156, 0.019455797970294952, 0.036342828534543514, 0.023841915652155876, 0.016905901953577995, 0.0167692881077528, 0.026483729481697083, 0.04402599483728409, 0.011382276192307472, 0.008603939786553383, 0.013997288420796394, 0.006288287695497274, 0.049995267763733864, 0.011825780384242535, 0.017971104010939598, 0.022062450647354126, 0.026845086365938187, 0.009617195464670658, 0.015792513266205788, 0.05868242122232914, 0.019595298916101456, 0.014305735006928444, 0.007502893451601267]",47
jokes,0.029270830564200878,[0.029270830564200878],1
he,0.029175616314877636,"[0.018508050590753555, 0.19889916852116585, 0.020317772403359413, 0.01864464581012726, 0.07384933810681105, 0.025492239743471146, 0.02156311832368374, 0.019630562514066696, 0.01610364206135273, 0.00872729904949665, 0.01590469665825367, 0.040390823036432266, 0.01879574917256832, 0.025759190320968628, 0.01689067855477333, 0.006195159628987312, 0.010317204520106316, 0.011891519650816917, 0.010334189049899578, 0.006244828924536705, 0.06958049722015858, 0.005615370348095894, 0.011383431032299995]",23
gonna,0.029142266139388084,[0.029142266139388084],1
received,0.028954317793250084,[0.028954317793250084],1
